date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:44	19071/19071	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part5/addressapp-part5.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part5/addressapp-part5.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part5/)
17:47:44	5120/5120	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part5/menu-actions.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part5/menu-actions.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part5/)
17:47:44	5662/5662	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part6/addressapp-part6.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part6/addressapp-part6.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part6/)
17:47:45	2057/2057	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part6/show-statistics-menu.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part6/show-statistics-menu.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part6/)
17:47:45	1764/1764	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part6/show-statistics-on-action.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part6/show-statistics-on-action.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part6/)
17:47:45	12053/12053	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part6/birthday-statistics-fxml.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part6/birthday-statistics-fxml.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part6/)
17:47:46	10914/10914	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part6/category-axis.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part6/category-axis.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part6/)
17:47:46	5033/5033	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part7/native-package.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part7/native-package.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part7/)
17:47:47	7892/7892	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part7/addressapp-part7.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part7/addressapp-part7.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part7/)
17:47:47	3970/3970	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part7/generate-ant-build.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part7/generate-ant-build.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part7/)
17:47:48	4383/4383	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part7/installer-icons.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part7/installer-icons.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part7/)
17:47:48	1736/1736	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part7/build-resources.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part7/build-resources.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part7/)
17:47:49	5452/5452	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part7/addressapp-windows.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part7/addressapp-windows.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part7/)
17:47:49	4529/4529	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part7/run-ant-build.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part7/run-ant-build.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part7/)
17:47:49	1987/1987	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part7/deployed-file.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part7/deployed-file.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part7/)
17:47:50	28326/28326	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part7/fxbuild-settings.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part7/fxbuild-settings.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part7/)
17:47:51	62183/62183	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part7/addressapp-macos.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part7/addressapp-macos.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part7/)
